:START_ID(Client),:END_ID(Location),:TYPE
client-wells-fl,loc-davis-islands-fl,SERVES_AREA
client-wells-fl,loc-harbour-island-fl,SERVES_AREA
client-wells-fl,loc-lutz-fl,SERVES_AREA
client-wells-fl,loc-odessa-fl,SERVES_AREA
client-wells-fl,loc-plant-city-fl,SERVES_AREA
client-wells-fl,loc-riverview-fl,SERVES_AREA
client-wells-fl,loc-seffner-fl,SERVES_AREA
client-wells-fl,loc-tampa-fl,SERVES_AREA
client-wells-fl,loc-valrico-fl,SERVES_AREA
client-wells-fl,loc-wesley-chapel-fl,SERVES_AREA
client-wells-fl,loc-westchase-fl,SERVES_AREA
