:START_ID(Client),:END_ID(Service),:TYPE
client-wells-wi,srv-crack-sealing,OFFERS_SERVICE
client-wells-wi,srv-crack-filling,OFFERS_SERVICE
client-wells-wi,srv-crack-routing,OFFERS_SERVICE
client-wells-wi,srv-sealcoating-residential,OFFERS_SERVICE
client-wells-wi,srv-sealcoating-commercial,OFFERS_SERVICE
client-wells-wi,srv-crack-seal-and-sealcoat-package,OFFERS_SERVICE
client-wells-wi,srv-fog-seal,OFFERS_SERVICE
client-wells-wi,srv-chip-seal,OFFERS_SERVICE
client-wells-wi,srv-cape-seal,OFFERS_SERVICE
client-wells-wi,srv-slurry-seal,OFFERS_SERVICE
client-wells-wi,srv-microsurfacing,OFFERS_SERVICE
client-wells-wi,srv-porous-asphalt,OFFERS_SERVICE
client-wells-wi,srv-warm-mix-asphalt,OFFERS_SERVICE
client-wells-wi,srv-high-rap-mixes,OFFERS_SERVICE
client-wells-wi,srv-colored-asphalt,OFFERS_SERVICE
client-wells-wi,srv-rubberized-asphalt,OFFERS_SERVICE
client-wells-wi,srv-grading-excavation,OFFERS_SERVICE
client-wells-wi,srv-land-clearing,OFFERS_SERVICE
client-wells-wi,srv-base-installation,OFFERS_SERVICE
client-wells-wi,srv-subgrade-stabilization,OFFERS_SERVICE
client-wells-wi,srv-drainage-installation,OFFERS_SERVICE
client-wells-wi,srv-demolition-removal,OFFERS_SERVICE
client-wells-wi,srv-parking-lot-striping,OFFERS_SERVICE
client-wells-wi,srv-roadway-striping,OFFERS_SERVICE
client-wells-wi,srv-thermoplastic-marking,OFFERS_SERVICE
client-wells-wi,srv-ada-compliance-marking,OFFERS_SERVICE
client-wells-wi,srv-annual-maintenance-residential,OFFERS_SERVICE
client-wells-wi,srv-commercial-maintenance-program,OFFERS_SERVICE
client-wells-wi,srv-municipal-pavement-management,OFFERS_SERVICE
client-wells-wi,srv-airport-paving,OFFERS_SERVICE
client-wells-wi,srv-industrial-heavy-duty-paving,OFFERS_SERVICE
client-wells-wi,srv-bike-path-trail-paving,OFFERS_SERVICE
client-wells-wi,srv-sports-facility-paving,OFFERS_SERVICE
client-wells-wi,srv-cold-climate-paving,OFFERS_SERVICE
client-wells-wi,srv-hot-climate-paving,OFFERS_SERVICE
client-wells-wi,srv-coastal-hurricane-zone-paving,OFFERS_SERVICE
client-wells-wi,srv-emergency-asphalt-repair,OFFERS_SERVICE
client-wells-wi,srv-utility-cut-repair,OFFERS_SERVICE
client-wells-wi,srv-sinkhole-repair,OFFERS_SERVICE
client-wells-wi,srv-surface-cleaning-sweeping,OFFERS_SERVICE
client-wells-fl,srv-new-asphalt-paving-residential,OFFERS_SERVICE
client-wells-fl,srv-new-asphalt-paving-commercial,OFFERS_SERVICE
client-wells-fl,srv-new-asphalt-paving-municipal,OFFERS_SERVICE
client-wells-fl,srv-subdivision-paving,OFFERS_SERVICE
client-wells-fl,srv-horse-farm-paving,OFFERS_SERVICE
client-wells-fl,srv-asphalt-patching-full-depth,OFFERS_SERVICE
client-wells-fl,srv-pothole-repair,OFFERS_SERVICE
client-wells-fl,srv-surface-patching,OFFERS_SERVICE
client-wells-fl,srv-asphalt-resurfacing,OFFERS_SERVICE
client-wells-fl,srv-mill-and-overlay,OFFERS_SERVICE
client-wells-fl,srv-full-depth-reclamation,OFFERS_SERVICE
client-wells-fl,srv-crack-sealing,OFFERS_SERVICE
client-wells-fl,srv-crack-filling,OFFERS_SERVICE
client-wells-fl,srv-crack-routing,OFFERS_SERVICE
client-wells-fl,srv-sealcoating-residential,OFFERS_SERVICE
client-wells-fl,srv-sealcoating-commercial,OFFERS_SERVICE
client-wells-fl,srv-crack-seal-and-sealcoat-package,OFFERS_SERVICE
client-wells-fl,srv-fog-seal,OFFERS_SERVICE
client-wells-fl,srv-chip-seal,OFFERS_SERVICE
client-wells-fl,srv-cape-seal,OFFERS_SERVICE
client-wells-fl,srv-slurry-seal,OFFERS_SERVICE
client-wells-fl,srv-microsurfacing,OFFERS_SERVICE
client-wells-fl,srv-porous-asphalt,OFFERS_SERVICE
client-wells-fl,srv-warm-mix-asphalt,OFFERS_SERVICE
client-wells-fl,srv-high-rap-mixes,OFFERS_SERVICE
client-wells-fl,srv-colored-asphalt,OFFERS_SERVICE
client-wells-fl,srv-rubberized-asphalt,OFFERS_SERVICE
